14.5924 	WARNING 	Requested an unavailable screen number - using first available.
27.1638 	EXP 	cue_stim: autoDraw = True
27.3635 	EXP 	cue_stim: autoDraw = False
27.3635 	EXP 	target_stim: autoDraw = True
27.5883 	DATA 	Keypress: left
27.5969 	EXP 	fixation: autoDraw = False
27.5969 	EXP 	cue_stim: autoDraw = False
27.5969 	EXP 	target_stim: autoDraw = False
27.5969 	EXP 	reminder: autoDraw = False
27.5969 	EXP 	feedback_rt: height = 0.12
27.5969 	EXP 	feedback_rt: height = 0.12
27.5969 	EXP 	feedback_rt: height = 0.12
27.5969 	EXP 	feedback_rt: text = 'Tempo de Reação: 208 ms'
27.5969 	EXP 	feedback_rt: autoDraw = True
28.5809 	EXP 	New trial (rep=0, index=10): {'cue': 'images/no_arrow.png', 'target_x': -0.55, 'is_valid': 0, 'corr': 'left'}
28.5965 	EXP 	feedback_rt: autoDraw = False
28.5965 	EXP 	feedback_rt: autoDraw = False
28.5965 	EXP 	cue_stim: ori = 0.0
28.5965 	EXP 	cue_stim: image = 'images/no_arrow.png'
28.5965 	EXP 	fixation: autoDraw = True
29.3970 	EXP 	fixation: autoDraw = False
29.3970 	EXP 	cue_stim: autoDraw = True
29.5971 	EXP 	cue_stim: autoDraw = False
29.5971 	EXP 	target_stim: autoDraw = True
29.8541 	DATA 	Keypress: left
29.8634 	EXP 	fixation: autoDraw = False
29.8634 	EXP 	cue_stim: autoDraw = False
29.8634 	EXP 	target_stim: autoDraw = False
29.8634 	EXP 	reminder: autoDraw = False
29.8634 	EXP 	feedback_rt: height = 0.12
29.8634 	EXP 	feedback_rt: height = 0.12
29.8634 	EXP 	feedback_rt: height = 0.12
29.8634 	EXP 	feedback_rt: text = 'Tempo de Reação: 247 ms'
29.8634 	EXP 	feedback_rt: autoDraw = True
30.8483 	EXP 	New trial (rep=0, index=11): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
30.8638 	EXP 	feedback_rt: autoDraw = False
30.8638 	EXP 	feedback_rt: autoDraw = False
30.8638 	EXP 	cue_stim: ori = 0.0
30.8638 	EXP 	cue_stim: image = 'images/arrow_right.png'
30.8638 	EXP 	fixation: autoDraw = True
31.6638 	EXP 	fixation: autoDraw = False
31.6638 	EXP 	cue_stim: autoDraw = True
31.8637 	EXP 	cue_stim: autoDraw = False
31.8637 	EXP 	target_stim: autoDraw = True
32.0873 	DATA 	Keypress: right
32.0972 	EXP 	fixation: autoDraw = False
32.0972 	EXP 	cue_stim: autoDraw = False
32.0972 	EXP 	target_stim: autoDraw = False
32.0972 	EXP 	reminder: autoDraw = False
32.0972 	EXP 	feedback_rt: height = 0.12
32.0972 	EXP 	feedback_rt: height = 0.12
32.0972 	EXP 	feedback_rt: height = 0.12
32.0972 	EXP 	feedback_rt: text = 'Tempo de Reação: 203 ms'
32.0972 	EXP 	feedback_rt: autoDraw = True
33.0812 	EXP 	New trial (rep=1, index=0): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
33.0967 	EXP 	feedback_rt: autoDraw = False
33.0967 	EXP 	feedback_rt: autoDraw = False
33.0967 	EXP 	cue_stim: ori = 0.0
33.0967 	EXP 	cue_stim: image = 'images/arrow_left.png'
33.0967 	EXP 	fixation: autoDraw = True
33.8970 	EXP 	fixation: autoDraw = False
33.8970 	EXP 	cue_stim: autoDraw = True
34.0969 	EXP 	cue_stim: autoDraw = False
34.0969 	EXP 	target_stim: autoDraw = True
34.3723 	DATA 	Keypress: left
34.3800 	EXP 	fixation: autoDraw = False
34.3800 	EXP 	cue_stim: autoDraw = False
34.3800 	EXP 	target_stim: autoDraw = False
34.3800 	EXP 	reminder: autoDraw = False
34.3800 	EXP 	feedback_rt: height = 0.12
34.3800 	EXP 	feedback_rt: height = 0.12
34.3800 	EXP 	feedback_rt: height = 0.12
34.3800 	EXP 	feedback_rt: text = 'Tempo de Reação: 266 ms'
34.3800 	EXP 	feedback_rt: autoDraw = True
35.3645 	EXP 	New trial (rep=1, index=1): {'cue': 'images/arrow_left.png', 'target_x': 0.55, 'is_valid': -1, 'corr': 'right'}
35.3800 	EXP 	feedback_rt: autoDraw = False
35.3800 	EXP 	feedback_rt: autoDraw = False
35.3800 	EXP 	cue_stim: ori = 0.0
35.3800 	EXP 	cue_stim: image = 'images/arrow_left.png'
35.3800 	EXP 	fixation: autoDraw = True
36.1801 	EXP 	fixation: autoDraw = False
36.1801 	EXP 	cue_stim: autoDraw = True
36.3799 	EXP 	cue_stim: autoDraw = False
36.3799 	EXP 	target_stim: autoDraw = True
36.7028 	DATA 	Keypress: right
36.7130 	EXP 	fixation: autoDraw = False
36.7130 	EXP 	cue_stim: autoDraw = False
36.7130 	EXP 	target_stim: autoDraw = False
36.7130 	EXP 	reminder: autoDraw = False
36.7130 	EXP 	feedback_rt: height = 0.12
36.7130 	EXP 	feedback_rt: height = 0.12
36.7130 	EXP 	feedback_rt: height = 0.12
36.7130 	EXP 	feedback_rt: text = 'Tempo de Reação: 313 ms'
36.7130 	EXP 	feedback_rt: autoDraw = True
37.6979 	EXP 	New trial (rep=1, index=2): {'cue': 'images/no_arrow.png', 'target_x': 0.55, 'is_valid': 0, 'corr': 'right'}
37.7141 	EXP 	feedback_rt: autoDraw = False
37.7141 	EXP 	feedback_rt: autoDraw = False
37.7141 	EXP 	cue_stim: ori = 0.0
37.7141 	EXP 	cue_stim: image = 'images/no_arrow.png'
37.7141 	EXP 	fixation: autoDraw = True
38.5132 	EXP 	cue_stim: autoDraw = True
38.5296 	EXP 	fixation: autoDraw = False
38.7131 	EXP 	cue_stim: autoDraw = False
38.7131 	EXP 	target_stim: autoDraw = True
39.0209 	DATA 	Keypress: right
39.0296 	EXP 	fixation: autoDraw = False
39.0296 	EXP 	cue_stim: autoDraw = False
39.0296 	EXP 	target_stim: autoDraw = False
39.0296 	EXP 	reminder: autoDraw = False
39.0296 	EXP 	feedback_rt: height = 0.12
39.0296 	EXP 	feedback_rt: height = 0.12
39.0296 	EXP 	feedback_rt: height = 0.12
39.0296 	EXP 	feedback_rt: text = 'Tempo de Reação: 299 ms'
39.0296 	EXP 	feedback_rt: autoDraw = True
40.0142 	EXP 	New trial (rep=1, index=3): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
40.0305 	EXP 	feedback_rt: autoDraw = False
40.0305 	EXP 	feedback_rt: autoDraw = False
40.0305 	EXP 	cue_stim: ori = 0.0
40.0305 	EXP 	cue_stim: image = 'images/arrow_right.png'
40.0305 	EXP 	fixation: autoDraw = True
40.8299 	EXP 	fixation: autoDraw = False
40.8299 	EXP 	cue_stim: autoDraw = True
41.0301 	EXP 	cue_stim: autoDraw = False
