cue,target_x,is_valid,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,fixation.started,cue_stim.started,fixation.stopped,target_stim.started,resp.started,cue_stim.stopped,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback_rt.started,feedback.stopped,feedback_rt.stopped,finish.started,valid_mean,invalid_mean,neutral_mean,thanks_msg.started,thanks_resp.started,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/no_arrow.png,0.55,0,right,1,7,19,11,49.213022199925035,,,,,,49.19749999977648,49.213022199925035,50.01235100021586,50.01235100021586,50.21278649987653,50.21278649987653,50.21278649987653,50.49746329989284,right,1,0.2720857001841068,None,50.49788560019806,50.51254819985479,51.49685569992289,51.512974199838936,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,1,8,20,2,51.512974199838936,,,,,,51.49729169998318,51.512974199838936,52.31276510003954,52.31276510003954,52.512709099799395,52.512709099799395,52.512709099799395,52.747089699842036,left,1,0.22693149978294969,None,52.747401900123805,52.76236130017787,53.74681490007788,53.76300030015409,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,-0.55,0,left,1,9,21,10,53.76300030015409,,,,,,53.747175199911,53.76300030015409,54.56244699982926,54.56244699982926,54.76269169989973,54.76269169989973,54.76269169989973,55.01365440012887,left,1,0.24883969966322184,None,55.01399789983407,55.02942349994555,56.012460600119084,56.029101400170475,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,1,10,22,3,56.029101400170475,,,,,,56.01273139985278,56.029101400170475,56.82922809990123,56.82922809990123,57.02908700006083,57.02908700006083,57.02908700006083,57.32987810019404,left,1,0.28824410028755665,None,57.33019390003756,57.34665759978816,58.345721799880266,,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,1,11,23,7,58.3622399000451,,,,,,58.34634879976511,58.3622399000451,59.14564670016989,59.16242720000446,59.34572040010244,59.34572040010244,59.34572040010244,59.59711810015142,right,1,0.23431310011073947,None,59.59747919999063,59.61261080019176,60.59621369978413,60.612063699867576,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,2,0,24,7,60.612063699867576,,,,,,60.596658300142735,60.612063699867576,61.412052100058645,61.412052100058645,61.61166509985924,61.61166509985924,61.61166509985924,61.83027089992538,right,1,0.21604999992996454,None,61.83060899982229,61.84532530000433,62.82951889978722,62.84519679984078,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,-0.55,-1,left,2,1,25,9,62.84519679984078,,,,,,62.829978299792856,62.84519679984078,63.64554509986192,63.64554509986192,63.84539260016754,63.84539260016754,63.84539260016754,64.1296227001585,left,1,0.2798632001504302,None,64.12993529997766,64.1454390999861,65.12956740008667,65.14520270004869,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,-0.55,-1,left,2,2,26,9,65.14520270004869,,,,,,65.12985080014914,65.14520270004869,65.94542439980432,65.94542439980432,66.14511479996145,66.14511479996145,66.14511479996145,66.44689590018243,left,1,0.29955899994820356,None,66.44736910006031,66.46209200005978,67.4458308997564,67.46195789985359,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,3,27,2,67.46195789985359,,,,,,67.44617989985272,67.46195789985359,68.26153329992667,68.26153329992667,68.46143299993128,68.46143299993128,68.46143299993128,68.6458632000722,left,1,0.18242640001699328,None,68.64624819997698,68.66126850014552,69.64520510006696,69.66135350009426,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,2,4,28,8,69.66135350009426,,,,,,69.64548290008679,69.66135350009426,70.46162280021235,70.46162280021235,70.6617239001207,70.6617239001207,70.6617239001207,70.91274899989367,right,1,0.24580019991844893,None,70.91306560020894,70.9281349000521,71.91257379995659,71.92829000018537,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,2,5,29,6,71.92829000018537,,,,,,71.91321309981868,71.92829000018537,72.72831950010732,72.72831950010732,72.92826239997521,72.92826239997521,72.92826239997521,73.21297580003738,right,1,0.28301600040867925,None,73.21345499996096,73.2281194999814,74.2123825000599,74.22805229993537,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,6,30,0,74.22805229993537,,,,,,74.21288899984211,74.22805229993537,75.0283169997856,75.0283169997856,75.22826660005376,75.22826660005376,75.22826660005376,75.46273079980165,left,1,0.2239772998727858,None,75.46324210008606,75.47790199983865,76.46194949978963,76.47787699988112,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,7,31,1,76.47787699988112,,,,,,76.46235179994255,76.47787699988112,77.2780284001492,77.2780284001492,77.4778852998279,77.4778852998279,77.4778852998279,77.67892249999568,left,1,0.19778800010681152,None,77.67924220021814,77.69495090004057,78.67838210007176,78.69453640002757,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,8,32,0,78.69453640002757,,,,,,78.67882200004533,78.69453640002757,79.4946015002206,79.4946015002206,79.69440620020032,79.69440620020032,79.69440620020032,79.97891609976068,left,1,0.26872360007837415,None,79.97922670003027,79.99433520017192,80.97849040012807,80.99441590020433,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,9,33,2,80.99441590020433,,,,,,80.9789195000194,80.99441590020433,81.7946024001576,81.7946024001576,81.99446830013767,81.99446830013767,81.99446830013767,82.22938090004027,left,1,0.23283449979498982,None,82.22990089980885,82.24446019995958,83.22846010001376,83.24438050016761,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,2,10,34,1,83.24438050016761,,,,,,83.22874729987234,83.24438050016761,84.04425510019064,84.04425510019064,84.24412079993635,84.24412079993635,84.24412079993635,84.44572510011494,left,1,0.19906850019469857,None,84.44642869988456,84.46091109979898,85.44473830005154,85.46074600005522,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,2,11,35,7,85.46074600005522,,,,,,85.44513210002333,85.46074600005522,86.2608746998012,86.2608746998012,86.46102970000356,86.46102970000356,86.46102970000356,86.71229320019484,right,1,0.24738349998369813,None,86.71262180013582,86.7271111998707,87.7112577999942,87.72779530007392,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,-0.55,-1,left,3,0,36,9,87.72779530007392,,,,,,87.71164229977876,87.72779530007392,88.52789069991559,88.52789069991559,88.72767119994387,88.72767119994387,88.72767119994387,89.02867140015587,left,1,0.2842060998082161,None,89.02915159985423,89.0441991998814,90.02813880005851,90.04422499984503,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,0.55,0,right,3,1,37,11,90.04422499984503,,,,,,90.02857880014926,90.04422499984503,90.84385500010103,90.84385500010103,91.0446700998582,91.0446700998582,91.0446700998582,91.31197169981897,right,1,0.2633324000053108,None,91.31228049984202,91.32726099994034,92.31130019994453,92.32746479986235,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,3,2,38,7,92.32746479986235,,,,,,92.31156780011952,92.32746479986235,93.12768939975649,93.12768939975649,93.32722060009837,93.32722060009837,93.32722060009837,93.59530609985813,right,1,0.2602532999590039,None,93.59594730008394,93.61045939987525,94.59442459978163,94.61056220019236,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,3,3,39,6,94.61056220019236,,,,,,94.59481480019167,94.61056220019236,95.41039709979668,95.41039709979668,95.61035929992795,95.61035929992795,95.61035929992795,95.89484350010753,right,1,0.2743823998607695,None,95.89515729993582,95.91027770005167,96.89449509978294,96.91035200003535,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,3,4,40,3,96.91035200003535,,,,,,96.89484500000253,96.91035200003535,97.7104600998573,97.7104600998573,97.91040749987587,97.91040749987587,97.91040749987587,98.16144739976153,left,1,0.23747179983183742,None,98.16176179982722,98.17721749981865,99.16083869989961,99.177133299876,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,3,5,41,3,99.177133299876,,,,,,99.16113780019805,99.177133299876,99.97704959986731,99.97704959986731,100.17700969986618,100.17700969986618,100.17700969986618,100.4782011997886,left,1,0.2985089002177119,None,100.47862190008163,100.49344020010903,101.4774945997633,101.49394469987601,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,0.55,-1,right,3,6,42,4,101.49394469987601,,,,,,101.47776489984244,101.49394469987601,102.29351190011948,102.29351190011948,102.49356549978256,102.49356549978256,102.49356549978256,102.8112135999836,right,1,0.30336179956793785,None,102.81168390018865,102.82690500002354,103.81094479979947,103.82700099982321,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,-0.55,0,left,3,7,43,10,103.82700099982321,,,,,,103.81123819993809,103.82700099982321,104.62673960020766,104.62673960020766,104.82690270012245,104.82690270012245,104.82690270012245,105.14458779990673,left,1,0.30448069982230663,None,105.14520200015977,105.15987470000982,106.14423359977081,106.15986800007522,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,0.55,0,right,3,8,44,11,106.15986800007522,,,,,,106.14458649978042,106.15986800007522,106.95989859988913,106.95989859988913,107.16018720017746,107.16018720017746,107.16018720017746,107.44447490014136,right,1,0.2667622999288142,None,107.44506749976426,107.45980070019141,108.44361789990216,108.45986129995435,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,3,9,45,8,108.45986129995435,,,,,,108.4439260000363,108.45986129995435,109.26002399995923,109.26002399995923,109.45947230001912,109.45947230001912,109.45947230001912,109.7276308001019,right,1,0.264380999840796,None,109.72794289980084,109.74295580014586,110.72740350011736,110.7428525001742,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,3,10,46,6,110.7428525001742,,,,,,110.72782579995692,110.7428525001742,111.54308799980208,111.54308799980208,111.74334849976003,111.74334849976003,111.74334849976003,111.9779897001572,right,1,0.2280015996657312,None,111.97839470021427,111.99288270017132,112.97722540004179,112.99287230009213,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,3,11,47,5,112.99287230009213,,,,,,112.97755589988083,112.99287230009213,113.79310759995133,113.79310759995133,113.99301839992404,113.99301839992404,113.99301839992404,114.22749560000375,right,1,0.2180363996885717,None,114.22798299975693,114.24327109986916,115.22731920005754,115.2599856001325,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.22737579979002,239.24675000307616,286.15437500411645,276.868287473917,115.2599856001325,115.2599856001325,145.69257850013673,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
