condition	palavra	math	math_resp	list_name	probe_item	item_condition	corr_ans	initial_instructions.thisRepN	initial_instructions.thisTrialN	initial_instructions.thisN	initial_instructions.thisIndex	list_choice.thisRepN	list_choice.thisTrialN	list_choice.thisN	list_choice.thisIndex	study_phase.thisRepN	study_phase.thisTrialN	study_phase.thisN	study_phase.thisIndex	distractor_trial_instructions.thisRepN	distractor_trial_instructions.thisTrialN	distractor_trial_instructions.thisN	distractor_trial_instructions.thisIndex	distractor_phase.thisRepN	distractor_phase.thisTrialN	distractor_phase.thisN	distractor_phase.thisIndex	test_trial_instructions.thisRepN	test_trial_instructions.thisTrialN	test_trial_instructions.thisN	test_trial_instructions.thisIndex	test_phase.thisRepN	test_phase.thisTrialN	test_phase.thisN	test_phase.thisIndex	instructions_msg.started	instructions_msg.stopped	spacebar_msg.started	spacebar_msg.stopped	word.started	word.stopped	math_trial.started	math_trial.stopped	math_trial_resp.keys	math_trial_resp.corr	math_trial_resp.started	math_trial_resp.stopped	fixation_cross.started	fixation_cross.stopped	general_instruction.started	general_instruction.stopped	test_trial_word.started	test_trial_word.stopped	test_trial_resp.keys	test_trial_resp.corr	test_trial_resp.rt	test_trial_resp.started	test_trial_resp.stopped	end.started	end.stopped	participant	session	date	expName	psychopyVersion	frameRate
				borracha	erro	new	n																									0	36	36	57													541.8469299	542.8512257	542.8512257	None	542.8512257	None	s	0	0.644	542.8512257	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				camisa	botão	new	n																									0	37	37	55													544.0406586	545.0439381	545.0439381	None	545.0439381	None	n	1	0.684	545.0439381	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				dor	sofrimento	new	n																									0	38	38	44													546.2668578	547.2701571	547.2701571	None	547.2701571	None	n	1	0.793	547.2701571	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				alegria	alegria	critical	n																									0	39	39	1													548.5923784	549.5965566	549.5965566	None	549.5965566	None	s	0	0.635	549.5965566	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				exército	exército	critical	n																									0	40	40	7													550.751446	551.7564744	551.7564744	None	551.7564744	None	s	0	1.203	551.7564744	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				devagar	devagar	critical	n																									0	41	41	5													553.4798567	554.485104	554.485104	None	554.485104	None	n	1	0.587	554.485104	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				agulha	agulha	critical	n																									0	42	42	0													555.6221916	556.6263945	556.6263945	None	556.6263945	None	s	0	0.733	556.6263945	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				devagar	lento	old	s																									0	43	43	15													557.8830525	558.8873874	558.8873874	None	558.8873874	None	s	1	1.344	558.8873874	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cidade	casa	new	n																									0	44	44	52													560.7793709	561.7827954	561.7827954	None	561.7827954	None	n	1	1.433	561.7827954	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				fumar	cigarro	new	n																									0	45	45	40													563.7568089	564.7609488	564.7609488	None	564.7609488	None	n	1	0.711	564.7609488	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				ladrão	prisão	new	n																									0	46	46	47													566.0162205	567.0232631	567.0232631	None	567.0232631	None	n	1	1.408	567.0232631	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				exército	guerra	old	s																									0	47	47	37													568.9801464	569.9838082	569.9838082	None	569.9838082	None	s	1	0.912	569.9838082	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				carro	carro	critical	n																									0	48	48	4													571.4414996	572.4444371	572.4444371	None	572.4444371	None	s	0	1.163	572.4444371	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				doce	gostoso	old	s																									0	49	49	26													574.1342705	575.1384419	575.1384419	None	575.1384419	None	s	1	0.685	575.1384419	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				montanha	escalada	old	s																									0	50	50	18													576.3603657	577.3659515	577.3659515	None	577.3659515	None	n	0	1.434	577.3659515	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				exército	soldado	old	s																									0	51	51	17													579.3248982	580.3283727	580.3283727	None	580.3283727	None	s	1	0.703	580.3283727	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				carro	velocidade	old	s																									0	52	52	24													581.549129	582.5532525	582.5532525	None	582.5532525	None	n	0	1.030	582.5532525	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				agulha	linha	old	s																									0	53	53	20													584.1112816	585.1149585	585.1149585	None	585.1149585	None	n	0	0.789	585.1149585	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				rei	poder	old	s																									0	54	54	29													586.4366128	587.4407739	587.4407739	None	587.4407739	None	s	1	0.367	587.4407739	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				alegria	felicidade	old	s																									0	55	55	21													588.3280389	589.3324114	589.3324114	None	589.3324114	None	s	1	0.747	589.3324114	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				rei	coroa	old	s																									0	56	56	19													590.621059	591.6252947	591.6252947	None	591.6252947	None	s	1	0.782	591.6252947	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				devagar	calma	old	s																									0	57	57	25													592.9473573	593.9523131	593.9523131	None	593.9523131	None	s	1	2.071	593.9523131	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				carro	motor	old	s																									0	58	58	34													596.5471879	597.5507841	597.5507841	None	597.5507841	None	s	1	0.401	597.5507841	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				agulha	costura	old	s																									0	59	59	10													598.4709887	599.4752339	599.4752339	None	599.4752339	None	s	1	0.516	599.4752339	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
																																																											600.0611784	None						
