English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,distractor_msg.started,instr_msg_2.started,instr_resp_2.started,instr_resp_2.keys,instr_resp_2.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,instr_msg_3.started,instr_resp_3.started,instr_resp_3.keys,instr_resp_3.rt,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,85.66529880000053,85.66529880000053,85.66529880000053,85.66529880000053,q i x a k,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,86.39200870000059,86.39200870000059,86.39200870000059,86.39200870000059,_ _ _ _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,87.14507140000023,87.14507140000023,87.14507140000023,87.14507140000023,u v i x u,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,87.97808720000012,87.97808720000012,87.97808720000012,87.97808720000012,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,88.69716580000022,88.69716580000022,88.69716580000022,88.69716580000022,_ _ _ l _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,5,,,,,,,,,,,,,,89.51326100000006,89.51326100000006,89.51326100000006,89.51326100000006,n i g a q,somente estudo,xxxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,90.82428160000018,90.82428160000018,90.82428160000018,90.82428160000018,_ i x a k,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,2,,,,,,,,,,,,,,91.79536569999982,91.79536569999982,91.79536569999982,91.79536569999982,_ _ l _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,92.6127290000004,92.6127290000004,92.6127290000004,92.6127290000004,u v _ x u,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,93.41110610000032,93.41110610000032,93.41110610000032,93.41110610000032,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
